RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:Q16552	IL17A	Interleukin-17A
UniProtKB:Q5VWK5	IL23R	Interleukin-23 receptor
UniProtKB:P07333	CSF1R	Macrophage colony-stimulating factor 1 receptor
UniProtKB:P42785	PRCP	Lysosomal Pro-X carboxypeptidase
UniProtKB:Q5K651	SAMD9	Sterile alpha motif domain-containing protein 9
UniProtKB:Q6IA17	SIGIRR	Single Ig IL-1-related receptor
UniProtKB:Q16520	BATF	Basic leucine zipper transcriptional factor ATF-like
UniProtKB:P42768	WAS	Actin nucleation-promoting factor WAS
UniProtKB:O43561	LAT	Linker for activation of T-cells family member 1
UniProtKB:O43586	PSTPIP1	Proline-serine-threonine phosphatase-interacting protein 1
UniProtKB:Q9Y2C9	TLR6	Toll-like receptor 6
UniProtKB:Q9H1F0	WFDC10A	WAP four-disulfide core domain protein 10A
UniProtKB:P54108	CRISP3	Cysteine-rich secretory protein 3
UniProtKB:P42701	IL12RB1	Interleukin-12 receptor subunit beta-1
UniProtKB:O75679	RFPL3	Ret finger protein-like 3
UniProtKB:O75678	RFPL2	Ret finger protein-like 2
UniProtKB:O75677	RFPL1	Ret finger protein-like 1
UniProtKB:O75676	RPS6KA4	Ribosomal protein S6 kinase alpha-4
UniProtKB:Q9P2A4	ABI3	ABI gene family member 3
UniProtKB:Q96C10	DHX58	ATP-dependent RNA helicase DHX58
UniProtKB:Q9UI33	SCN11A	Sodium channel protein type 11 subunit alpha
UniProtKB:Q16348	SLC15A2	Solute carrier family 15 member 2
UniProtKB:O43734	TRAF3IP2	E3 ubiquitin ligase TRAF3IP2
UniProtKB:Q96BQ3	TRIM43	Tripartite motif-containing protein 43
UniProtKB:Q13075	NAIP	Baculoviral IAP repeat-containing protein 1
UniProtKB:O95994	AGR2	Anterior gradient protein 2 homolog
UniProtKB:O95992	CH25H	Cholesterol 25-hydroxylase
UniProtKB:Q04912	MST1R	Macrophage-stimulating protein receptor
UniProtKB:P22083	FUT4	Alpha-(1,3)-fucosyltransferase 4
UniProtKB:P49279	SLC11A1	Natural resistance-associated macrophage protein 1
UniProtKB:Q9Y4C4	MFHAS1	Malignant fibrous histiocytoma-amplified sequence 1
UniProtKB:Q9Y4C5	CHST2	Carbohydrate sulfotransferase 2
UniProtKB:Q8NES8	DEFB124	Beta-defensin 124
UniProtKB:O95971	CD160	CD160 antigen
UniProtKB:P49238	CX3CR1	CX3C chemokine receptor 1
UniProtKB:O95944	NCR2	Natural cytotoxicity triggering receptor 2
UniProtKB:P37840	SNCA	Alpha-synuclein
UniProtKB:Q8NHW4	CCL4L1	C-C motif chemokine 4-like
UniProtKB:P10645	CHGA	Chromogranin-A
UniProtKB:P10643	C7	Complement component C7
UniProtKB:P10636	MAPT	Microtubule-associated protein tau
UniProtKB:O95925	EPPIN	Eppin
UniProtKB:Q9UHG0	DCDC2	Doublecortin domain-containing protein 2
UniProtKB:O95918	OR2H2	Olfactory receptor 2H2
UniProtKB:Q9UHF5	IL17B	Interleukin-17B
UniProtKB:O75636	FCN3	Ficolin-3
UniProtKB:P22004	BMP6	Bone morphogenetic protein 6
UniProtKB:Q9UHD2	TBK1	Serine/threonine-protein kinase TBK1
UniProtKB:Q8NI38	NFKBID	NF-kappa-B inhibitor delta
UniProtKB:Q9UHA7	IL36A	Interleukin-36 alpha
UniProtKB:P22079	LPO	Lactoperoxidase
UniProtKB:Q8NHL6	LILRB1	Leukocyte immunoglobulin-like receptor subfamily B member 1
UniProtKB:O75951	LYZL6	Lysozyme-like protein 6
UniProtKB:Q9NPA2	MMP25	Matrix metalloproteinase-25
UniProtKB:P0C869	PLA2G4B	Cytosolic phospholipase A2 beta
UniProtKB:Q9H3Y6	SRMS	Tyrosine-protein kinase Srms
UniProtKB:Q8NAC3	IL17RC	Interleukin-17 receptor C
UniProtKB:Q9BQI3	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1
UniProtKB:P59901	LILRA4	Leukocyte immunoglobulin-like receptor subfamily A member 4
UniProtKB:Q16778	H2BC21	Histone H2B type 2-E
UniProtKB:Q9H3N8	HRH4	Histamine H4 receptor
UniProtKB:Q9H3M7	TXNIP	Thioredoxin-interacting protein
UniProtKB:O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2
UniProtKB:Q9UM07	PADI4	Protein-arginine deiminase type-4
UniProtKB:Q16719	KYNU	Kynureninase
UniProtKB:P49682	CXCR3	C-X-C chemokine receptor type 3
UniProtKB:P0DMS9	TMIGD3	Transmembrane domain-containing protein TMIGD3
UniProtKB:P0DMS8	ADORA3	Adenosine receptor A3
UniProtKB:P49662	CASP4	Caspase-4
UniProtKB:O75896	TUSC2	Tumor suppressor candidate 2
UniProtKB:Q96J92	WNK4	Serine/threonine-protein kinase WNK4
UniProtKB:Q11130	FUT7	Alpha-(1,3)-fucosyltransferase 7
UniProtKB:Q9ULC3	RAB23	Ras-related protein Rab-23
UniProtKB:O95715	CXCL14	C-X-C motif chemokine 14
UniProtKB:O43927	CXCL13	C-X-C motif chemokine 13
UniProtKB:P59861	DEFB131A	Beta-defensin 131A
UniProtKB:O43916	CHST1	Carbohydrate sulfotransferase 1
UniProtKB:O43914	TYROBP	TYRO protein tyrosine kinase-binding protein
UniProtKB:Q9NNX6	CD209	CD209 antigen
UniProtKB:Q9H2U1	DHX36	ATP-dependent DNA/RNA helicase DHX36
UniProtKB:P59826	BPIFB3	BPI fold-containing family B member 3
UniProtKB:P00748	F12	Coagulation factor XII
UniProtKB:P07478	PRSS2	Trypsin-2
UniProtKB:Q9UKV0	HDAC9	Histone deacetylase 9
UniProtKB:P00738	HP	Haptoglobin
UniProtKB:P00736	C1R	Complement C1r subcomponent
UniProtKB:P00734	F2	Prothrombin
UniProtKB:Q16666	IFI16	Gamma-interferon-inducible protein 16
UniProtKB:Q16665	HIF1A	Hypoxia-inducible factor 1-alpha
UniProtKB:P27918	CFP	Properdin
UniProtKB:P12109	COL6A1	Collagen alpha-1(VI) chain
UniProtKB:P00709	LALBA	Alpha-lactalbumin
UniProtKB:P07437	TUBB	Tubulin beta chain
UniProtKB:Q16627	CCL14	C-C motif chemokine 14
UniProtKB:Q16617	NKG7	Protein NKG7
UniProtKB:Q16610	ECM1	Extracellular matrix protein 1
UniProtKB:Q5VU57	AGBL4	Cytosolic carboxypeptidase 6
