deg	cis_driven	Class	Tissue	Trait	gene
IGSF21	0	Not_cis-driven	Lung	Age	IGSF21
E2F2	0	Not_cis-driven	Lung	Age	E2F2
MANEAL	1	Cis-driven	Lung	Age	MANEAL
SMAP2	0	Not_cis-driven	Lung	Age	SMAP2
FOXD2	3	Cis-driven	Lung	Age	FOXD2
TRABD2B	0	Not_cis-driven	Lung	Age	TRABD2B
IQGAP3	0	Not_cis-driven	Lung	Age	IQGAP3
HAPLN2	0	Not_cis-driven	Lung	Age	HAPLN2
RGS5	0	Not_cis-driven	Lung	Age	RGS5
COLGALT2	0	Not_cis-driven	Lung	Age	COLGALT2
IVNS1ABP	0	Not_cis-driven	Lung	Age	IVNS1ABP
PRG4	0	Not_cis-driven	Lung	Age	PRG4
LMOD1	0	Not_cis-driven	Lung	Age	LMOD1
PPP1R15B	0	Not_cis-driven	Lung	Age	PPP1R15B
NFASC	1	Cis-driven	Lung	Age	NFASC
TRIB2	1	Cis-driven	Lung	Age	TRIB2
KLHL29	0	Not_cis-driven	Lung	Age	KLHL29
MSH6	1	Cis-driven	Lung	Age	MSH6
ATOH8	0	Not_cis-driven	Lung	Age	ATOH8
LIMS1	0	Not_cis-driven	Lung	Age	LIMS1
MERTK	0	Not_cis-driven	Lung	Age	MERTK
HS6ST1	0	Not_cis-driven	Lung	Age	HS6ST1
SLC38A11	0	Not_cis-driven	Lung	Age	SLC38A11
CERS6	0	Not_cis-driven	Lung	Age	CERS6
PDE1A	0	Not_cis-driven	Lung	Age	PDE1A
TTLL4	0	Not_cis-driven	Lung	Age	TTLL4
EFHD1	1	Cis-driven	Lung	Age	EFHD1
HJURP	0	Not_cis-driven	Lung	Age	HJURP
RAMP1	0	Not_cis-driven	Lung	Age	RAMP1
GPC1	0	Not_cis-driven	Lung	Age	GPC1
KIF15	1	Cis-driven	Lung	Age	KIF15
PTH1R	1	Cis-driven	Lung	Age	PTH1R
ITIH3	0	Not_cis-driven	Lung	Age	ITIH3
FAM107A	0	Not_cis-driven	Lung	Age	FAM107A
ROBO2	0	Not_cis-driven	Lung	Age	ROBO2
PHLDB2	2	Cis-driven	Lung	Age	PHLDB2
ITGB5	0	Not_cis-driven	Lung	Age	ITGB5
ST6GAL1	0	Not_cis-driven	Lung	Age	ST6GAL1
FGF12	1	Cis-driven	Lung	Age	FGF12
ADRA2C	0	Not_cis-driven	Lung	Age	ADRA2C
ABLIM2	0	Not_cis-driven	Lung	Age	ABLIM2
ZNF518B	0	Not_cis-driven	Lung	Age	ZNF518B
PPA2	4	Cis-driven	Lung	Age	PPA2
ANKRD50	0	Not_cis-driven	Lung	Age	ANKRD50
PGRMC2	0	Not_cis-driven	Lung	Age	PGRMC2
JADE1	0	Not_cis-driven	Lung	Age	JADE1
CPE	0	Not_cis-driven	Lung	Age	CPE
SORBS2	0	Not_cis-driven	Lung	Age	SORBS2
AHRR	1	Cis-driven	Lung	Age	AHRR
FST	0	Not_cis-driven	Lung	Age	FST
RGS7BP	0	Not_cis-driven	Lung	Age	RGS7BP
PIK3R1	0	Not_cis-driven	Lung	Age	PIK3R1
MAP1B	0	Not_cis-driven	Lung	Age	MAP1B
LOX	0	Not_cis-driven	Lung	Age	LOX
GRAMD3	0	Not_cis-driven	Lung	Age	GRAMD3
JADE2	0	Not_cis-driven	Lung	Age	JADE2
PROB1	0	Not_cis-driven	Lung	Age	PROB1
NRG2	0	Not_cis-driven	Lung	Age	NRG2
PCDHA3	0	Not_cis-driven	Lung	Age	PCDHA3
PCDHGB1	0	Not_cis-driven	Lung	Age	PCDHGB1
PCDHGA7	0	Not_cis-driven	Lung	Age	PCDHGA7
SMIM3	0	Not_cis-driven	Lung	Age	SMIM3
EBF1	0	Not_cis-driven	Lung	Age	EBF1
ADRA1B	0	Not_cis-driven	Lung	Age	ADRA1B
RANBP17	1	Cis-driven	Lung	Age	RANBP17
BTNL9	0	Not_cis-driven	Lung	Age	BTNL9
RPS18	0	Not_cis-driven	Lung	Age	RPS18
HMGA1	0	Not_cis-driven	Lung	Age	HMGA1
FKBP5	0	Not_cis-driven	Lung	Age	FKBP5
CDKN1A	0	Not_cis-driven	Lung	Age	CDKN1A
TTK	0	Not_cis-driven	Lung	Age	TTK
FOXO3	0	Not_cis-driven	Lung	Age	FOXO3
MAP3K4	2	Cis-driven	Lung	Age	MAP3K4
WIPF3	0	Not_cis-driven	Lung	Age	WIPF3
ANLN	0	Not_cis-driven	Lung	Age	ANLN
AEBP1	0	Not_cis-driven	Lung	Age	AEBP1
ELN	0	Not_cis-driven	Lung	Age	ELN
FAM180A	0	Not_cis-driven	Lung	Age	FAM180A
TRIM35	0	Not_cis-driven	Lung	Age	TRIM35
NUGGC	0	Not_cis-driven	Lung	Age	NUGGC
RPL7	0	Not_cis-driven	Lung	Age	RPL7
TSPYL5	0	Not_cis-driven	Lung	Age	TSPYL5
FBXO32	0	Not_cis-driven	Lung	Age	FBXO32
MTSS1	3	Cis-driven	Lung	Age	MTSS1
PCSK5	0	Not_cis-driven	Lung	Age	PCSK5
NTRK2	0	Not_cis-driven	Lung	Age	NTRK2
PTCH1	0	Not_cis-driven	Lung	Age	PTCH1
ANP32B	0	Not_cis-driven	Lung	Age	ANP32B
AIF1L	0	Not_cis-driven	Lung	Age	AIF1L
ZWINT	0	Not_cis-driven	Lung	Age	ZWINT
FAM13C	0	Not_cis-driven	Lung	Age	FAM13C
CDK1	0	Not_cis-driven	Lung	Age	CDK1
PLCE1	0	Not_cis-driven	Lung	Age	PLCE1
CPXM2	0	Not_cis-driven	Lung	Age	CPXM2
MKI67	0	Not_cis-driven	Lung	Age	MKI67
PGAP2	1	Cis-driven	Lung	Age	PGAP2
NRIP3	0	Not_cis-driven	Lung	Age	NRIP3
E2F8	0	Not_cis-driven	Lung	Age	E2F8
PATL1	0	Not_cis-driven	Lung	Age	PATL1
NOX4	0	Not_cis-driven	Lung	Age	NOX4
PDGFD	1	Cis-driven	Lung	Age	PDGFD
NNMT	2	Cis-driven	Lung	Age	NNMT
APOA1	1	Cis-driven	Lung	Age	APOA1
PCSK7	0	Not_cis-driven	Lung	Age	PCSK7
CDCA3	0	Not_cis-driven	Lung	Age	CDCA3
CD163	0	Not_cis-driven	Lung	Age	CD163
CLEC4A	0	Not_cis-driven	Lung	Age	CLEC4A
OLR1	0	Not_cis-driven	Lung	Age	OLR1
YEATS4	0	Not_cis-driven	Lung	Age	YEATS4
TSPAN8	0	Not_cis-driven	Lung	Age	TSPAN8
RASSF9	0	Not_cis-driven	Lung	Age	RASSF9
NALCN	0	Not_cis-driven	Lung	Age	NALCN
ITGBL1	1	Cis-driven	Lung	Age	ITGBL1
FGF14	0	Not_cis-driven	Lung	Age	FGF14
DLGAP5	0	Not_cis-driven	Lung	Age	DLGAP5
RGS6	0	Not_cis-driven	Lung	Age	RGS6
SYNE3	1	Cis-driven	Lung	Age	SYNE3
FMN1	0	Not_cis-driven	Lung	Age	FMN1
BUB1B	0	Not_cis-driven	Lung	Age	BUB1B
LINC00924	0	Not_cis-driven	Lung	Age	LINC00924
RAB11FIP3	2	Cis-driven	Lung	Age	RAB11FIP3
RPS2	0	Not_cis-driven	Lung	Age	RPS2
MT1X	1	Cis-driven	Lung	Age	MT1X
FOXL1	0	Not_cis-driven	Lung	Age	FOXL1
FBXO31	0	Not_cis-driven	Lung	Age	FBXO31
AURKB	0	Not_cis-driven	Lung	Age	AURKB
RASD1	0	Not_cis-driven	Lung	Age	RASD1
RPL23A	0	Not_cis-driven	Lung	Age	RPL23A
TOP2A	0	Not_cis-driven	Lung	Age	TOP2A
CD300LG	0	Not_cis-driven	Lung	Age	CD300LG
PLCD3	2	Cis-driven	Lung	Age	PLCD3
CALCOCO2	0	Not_cis-driven	Lung	Age	CALCOCO2
SEPT4	0	Not_cis-driven	Lung	Age	SEPT4
RNF157	0	Not_cis-driven	Lung	Age	RNF157
C1QTNF1	0	Not_cis-driven	Lung	Age	C1QTNF1
ENOSF1	1	Cis-driven	Lung	Age	ENOSF1
IMPA2	0	Not_cis-driven	Lung	Age	IMPA2
LOXHD1	0	Not_cis-driven	Lung	Age	LOXHD1
CTIF	2	Cis-driven	Lung	Age	CTIF
TM6SF2	0	Not_cis-driven	Lung	Age	TM6SF2
FXYD1	0	Not_cis-driven	Lung	Age	FXYD1
HSPB6	0	Not_cis-driven	Lung	Age	HSPB6
DMPK	0	Not_cis-driven	Lung	Age	DMPK
SNX5	0	Not_cis-driven	Lung	Age	SNX5
TGIF2	0	Not_cis-driven	Lung	Age	TGIF2
SAMHD1	0	Not_cis-driven	Lung	Age	SAMHD1
NNAT	0	Not_cis-driven	Lung	Age	NNAT
PPP1R16B	0	Not_cis-driven	Lung	Age	PPP1R16B
NEFH	1	Cis-driven	Lung	Age	NEFH
MIRLET7BHG	1	Cis-driven	Lung	Age	MIRLET7BHG
SSU72	1	Cis-driven	Lung	Ancestry	SSU72
CDK11B	0	Not_cis-driven	Lung	Ancestry	CDK11B
ARHGEF19	0	Not_cis-driven	Lung	Ancestry	ARHGEF19
AKR7A3	0	Not_cis-driven	Lung	Ancestry	AKR7A3
TMCO4	4	Cis-driven	Lung	Ancestry	TMCO4
ATPIF1	0	Not_cis-driven	Lung	Ancestry	ATPIF1
TFAP2E	1	Cis-driven	Lung	Ancestry	TFAP2E
INPP5B	0	Not_cis-driven	Lung	Ancestry	INPP5B
PPIE	0	Not_cis-driven	Lung	Ancestry	PPIE
KCNQ4	2	Cis-driven	Lung	Ancestry	KCNQ4
ZSWIM5	0	Not_cis-driven	Lung	Ancestry	ZSWIM5
LURAP1	1	Cis-driven	Lung	Ancestry	LURAP1
L1TD1	0	Not_cis-driven	Lung	Ancestry	L1TD1
JAK1	2	Cis-driven	Lung	Ancestry	JAK1
AK4	0	Not_cis-driven	Lung	Ancestry	AK4
GBP4	0	Not_cis-driven	Lung	Ancestry	GBP4
DPYD	0	Not_cis-driven	Lung	Ancestry	DPYD
SV2A	0	Not_cis-driven	Lung	Ancestry	SV2A
S100A3	0	Not_cis-driven	Lung	Ancestry	S100A3
SLC25A44	0	Not_cis-driven	Lung	Ancestry	SLC25A44
FCRL1	0	Not_cis-driven	Lung	Ancestry	FCRL1
CADM3	4	Cis-driven	Lung	Ancestry	CADM3
VANGL2	0	Not_cis-driven	Lung	Ancestry	VANGL2
FMO3	0	Not_cis-driven	Lung	Ancestry	FMO3
LAMC1	1	Cis-driven	Lung	Ancestry	LAMC1
TLR5	1	Cis-driven	Lung	Ancestry	TLR5
CNIH4	1	Cis-driven	Lung	Ancestry	CNIH4
LGALS8	1	Cis-driven	Lung	Ancestry	LGALS8
SH3BP5L	0	Not_cis-driven	Lung	Ancestry	SH3BP5L
TRAPPC12	3	Cis-driven	Lung	Ancestry	TRAPPC12
ADI1	1	Cis-driven	Lung	Ancestry	ADI1
DTNB	0	Not_cis-driven	Lung	Ancestry	DTNB
PLB1	0	Not_cis-driven	Lung	Ancestry	PLB1
SPDYA	0	Not_cis-driven	Lung	Ancestry	SPDYA
RASGRP3	1	Cis-driven	Lung	Ancestry	RASGRP3
CYP1B1	0	Not_cis-driven	Lung	Ancestry	CYP1B1
MCFD2	2	Cis-driven	Lung	Ancestry	MCFD2
STON1-GTF2A1L	0	Not_cis-driven	Lung	Ancestry	STON1-GTF2A1L
PNPT1	0	Not_cis-driven	Lung	Ancestry	PNPT1
EFEMP1	0	Not_cis-driven	Lung	Ancestry	EFEMP1
UGP2	0	Not_cis-driven	Lung	Ancestry	UGP2
GNLY	4	Cis-driven	Lung	Ancestry	GNLY
NEURL3	0	Not_cis-driven	Lung	Ancestry	NEURL3
GYPC	0	Not_cis-driven	Lung	Ancestry	GYPC
MZT2A	1	Cis-driven	Lung	Ancestry	MZT2A
CD302	1	Cis-driven	Lung	Ancestry	CD302
LY75	3	Cis-driven	Lung	Ancestry	LY75
CHN1	1	Cis-driven	Lung	Ancestry	CHN1
SPATS2L	5	Cis-driven	Lung	Ancestry	SPATS2L
PPIL3	1	Cis-driven	Lung	Ancestry	PPIL3
ALS2	1	Cis-driven	Lung	Ancestry	ALS2
CDK15	0	Not_cis-driven	Lung	Ancestry	CDK15
ACSL3	1	Cis-driven	Lung	Ancestry	ACSL3
LRRFIP1	1	Cis-driven	Lung	Ancestry	LRRFIP1
UBE2F	0	Not_cis-driven	Lung	Ancestry	UBE2F
D2HGDH	1	Cis-driven	Lung	Ancestry	D2HGDH
TRNT1	1	Cis-driven	Lung	Ancestry	TRNT1
LRRN1	2	Cis-driven	Lung	Ancestry	LRRN1
TAMM41	2	Cis-driven	Lung	Ancestry	TAMM41
CAND2	1	Cis-driven	Lung	Ancestry	CAND2
COLQ	2	Cis-driven	Lung	Ancestry	COLQ
FYCO1	2	Cis-driven	Lung	Ancestry	FYCO1
RASSF1	0	Not_cis-driven	Lung	Ancestry	RASSF1
CYB561D2	0	Not_cis-driven	Lung	Ancestry	CYB561D2
PHLDB2	0	Not_cis-driven	Lung	Ancestry	PHLDB2
GTPBP8	0	Not_cis-driven	Lung	Ancestry	GTPBP8
RAB43	0	Not_cis-driven	Lung	Ancestry	RAB43
NPHP3	1	Cis-driven	Lung	Ancestry	NPHP3
PLSCR1	0	Not_cis-driven	Lung	Ancestry	PLSCR1
PTX3	0	Not_cis-driven	Lung	Ancestry	PTX3
FNDC3B	4	Cis-driven	Lung	Ancestry	FNDC3B
ATP11B	1	Cis-driven	Lung	Ancestry	ATP11B
TPRG1-AS1	0	Not_cis-driven	Lung	Ancestry	TPRG1-AS1
PIGZ	0	Not_cis-driven	Lung	Ancestry	PIGZ
PCGF3	0	Not_cis-driven	Lung	Ancestry	PCGF3
MAEA	0	Not_cis-driven	Lung	Ancestry	MAEA
S100P	0	Not_cis-driven	Lung	Ancestry	S100P
HOPX	0	Not_cis-driven	Lung	Ancestry	HOPX
FRAS1	1	Cis-driven	Lung	Ancestry	FRAS1
PRKG2	1	Cis-driven	Lung	Ancestry	PRKG2
KLHL8	0	Not_cis-driven	Lung	Ancestry	KLHL8
FLJ20021	0	Not_cis-driven	Lung	Ancestry	FLJ20021
ENPEP	1	Cis-driven	Lung	Ancestry	ENPEP
SCLT1	1	Cis-driven	Lung	Ancestry	SCLT1
SLC10A7	0	Not_cis-driven	Lung	Ancestry	SLC10A7
PRIMPOL	0	Not_cis-driven	Lung	Ancestry	PRIMPOL
CCDC127	2	Cis-driven	Lung	Ancestry	CCDC127
SLC6A3	0	Not_cis-driven	Lung	Ancestry	SLC6A3
SKIV2L2	1	Cis-driven	Lung	Ancestry	SKIV2L2
SETD9	0	Not_cis-driven	Lung	Ancestry	SETD9
F2RL1	0	Not_cis-driven	Lung	Ancestry	F2RL1
PDE8B	0	Not_cis-driven	Lung	Ancestry	PDE8B
BHMT2	0	Not_cis-driven	Lung	Ancestry	BHMT2
SSBP2	1	Cis-driven	Lung	Ancestry	SSBP2
PAM	0	Not_cis-driven	Lung	Ancestry	PAM
ALDH7A1	0	Not_cis-driven	Lung	Ancestry	ALDH7A1
UBE2B	0	Not_cis-driven	Lung	Ancestry	UBE2B
SPATA24	0	Not_cis-driven	Lung	Ancestry	SPATA24
NRG2	0	Not_cis-driven	Lung	Ancestry	NRG2
PCDHGA3	0	Not_cis-driven	Lung	Ancestry	PCDHGA3
HDAC3	0	Not_cis-driven	Lung	Ancestry	HDAC3
BTNL8	1	Cis-driven	Lung	Ancestry	BTNL8
EXOC2	6	Cis-driven	Lung	Ancestry	EXOC2
SERPINB9P1	1	Cis-driven	Lung	Ancestry	SERPINB9P1
PSMG4	0	Not_cis-driven	Lung	Ancestry	PSMG4
C6orf52	0	Not_cis-driven	Lung	Ancestry	C6orf52
TMEM14C	1	Cis-driven	Lung	Ancestry	TMEM14C
GNL1	2	Cis-driven	Lung	Ancestry	GNL1
TNF	0	Not_cis-driven	Lung	Ancestry	TNF
ZBTB22	2	Cis-driven	Lung	Ancestry	ZBTB22
RNF8	2	Cis-driven	Lung	Ancestry	RNF8
MRPS10	2	Cis-driven	Lung	Ancestry	MRPS10
ENPP4	0	Not_cis-driven	Lung	Ancestry	ENPP4
PREP	1	Cis-driven	Lung	Ancestry	PREP
SOBP	0	Not_cis-driven	Lung	Ancestry	SOBP
LINC00222	0	Not_cis-driven	Lung	Ancestry	LINC00222
HDDC2	2	Cis-driven	Lung	Ancestry	HDDC2
SGK1	1	Cis-driven	Lung	Ancestry	SGK1
HEBP2	2	Cis-driven	Lung	Ancestry	HEBP2
PPIL4	1	Cis-driven	Lung	Ancestry	PPIL4
VIP	1	Cis-driven	Lung	Ancestry	VIP
WDR27	0	Not_cis-driven	Lung	Ancestry	WDR27
FOXK1	5	Cis-driven	Lung	Ancestry	FOXK1
HIBADH	0	Not_cis-driven	Lung	Ancestry	HIBADH
LINC01176	0	Not_cis-driven	Lung	Ancestry	LINC01176
AMPH	0	Not_cis-driven	Lung	Ancestry	AMPH
STYXL1	0	Not_cis-driven	Lung	Ancestry	STYXL1
MUC3A	0	Not_cis-driven	Lung	Ancestry	MUC3A
KCP	0	Not_cis-driven	Lung	Ancestry	KCP
STRIP2	0	Not_cis-driven	Lung	Ancestry	STRIP2
C7orf49	0	Not_cis-driven	Lung	Ancestry	C7orf49
TMEM140	0	Not_cis-driven	Lung	Ancestry	TMEM140
KIAA1549	0	Not_cis-driven	Lung	Ancestry	KIAA1549
ATP6V0E2	2	Cis-driven	Lung	Ancestry	ATP6V0E2
ACTR3C	1	Cis-driven	Lung	Ancestry	ACTR3C
PTPRN2	2	Cis-driven	Lung	Ancestry	PTPRN2
MYOM2	5	Cis-driven	Lung	Ancestry	MYOM2
ERI1	0	Not_cis-driven	Lung	Ancestry	ERI1
ZDHHC2	1	Cis-driven	Lung	Ancestry	ZDHHC2
CSGALNACT1	1	Cis-driven	Lung	Ancestry	CSGALNACT1
LPL	0	Not_cis-driven	Lung	Ancestry	LPL
DOCK5	0	Not_cis-driven	Lung	Ancestry	DOCK5
HMBOX1	0	Not_cis-driven	Lung	Ancestry	HMBOX1
SPIDR	5	Cis-driven	Lung	Ancestry	SPIDR
PCMTD1	0	Not_cis-driven	Lung	Ancestry	PCMTD1
ST3GAL1	0	Not_cis-driven	Lung	Ancestry	ST3GAL1
PTP4A3	0	Not_cis-driven	Lung	Ancestry	PTP4A3
LY6K	0	Not_cis-driven	Lung	Ancestry	LY6K
TOP1MT	4	Cis-driven	Lung	Ancestry	TOP1MT
SPATC1	0	Not_cis-driven	Lung	Ancestry	SPATC1
SH3GL2	0	Not_cis-driven	Lung	Ancestry	SH3GL2
MTAP	1	Cis-driven	Lung	Ancestry	MTAP
HINT2	0	Not_cis-driven	Lung	Ancestry	HINT2
SLC28A3	1	Cis-driven	Lung	Ancestry	SLC28A3
PTGR1	0	Not_cis-driven	Lung	Ancestry	PTGR1
PRPF4	0	Not_cis-driven	Lung	Ancestry	PRPF4
SURF6	2	Cis-driven	Lung	Ancestry	SURF6
ADARB2	1	Cis-driven	Lung	Ancestry	ADARB2
CAMK1D	0	Not_cis-driven	Lung	Ancestry	CAMK1D
PRTFDC1	0	Not_cis-driven	Lung	Ancestry	PRTFDC1
IPMK	2	Cis-driven	Lung	Ancestry	IPMK
TFAM	0	Not_cis-driven	Lung	Ancestry	TFAM
NUDT13	0	Not_cis-driven	Lung	Ancestry	NUDT13
FAM149B1	1	Cis-driven	Lung	Ancestry	FAM149B1
DLG5	3	Cis-driven	Lung	Ancestry	DLG5
LINC00865	0	Not_cis-driven	Lung	Ancestry	LINC00865
PYROXD2	1	Cis-driven	Lung	Ancestry	PYROXD2
ERLIN1	0	Not_cis-driven	Lung	Ancestry	ERLIN1
CASP7	0	Not_cis-driven	Lung	Ancestry	CASP7
BTBD16	1	Cis-driven	Lung	Ancestry	BTBD16
BNIP3	0	Not_cis-driven	Lung	Ancestry	BNIP3
DPYSL4	0	Not_cis-driven	Lung	Ancestry	DPYSL4
SCART1	2	Cis-driven	Lung	Ancestry	SCART1
IFITM5	0	Not_cis-driven	Lung	Ancestry	IFITM5
MRPL23	0	Not_cis-driven	Lung	Ancestry	MRPL23
TRIM68	2	Cis-driven	Lung	Ancestry	TRIM68
TRIM66	0	Not_cis-driven	Lung	Ancestry	TRIM66
LYVE1	0	Not_cis-driven	Lung	Ancestry	LYVE1
LMO2	0	Not_cis-driven	Lung	Ancestry	LMO2
APIP	0	Not_cis-driven	Lung	Ancestry	APIP
SCYL1	0	Not_cis-driven	Lung	Ancestry	SCYL1
ZDHHC24	0	Not_cis-driven	Lung	Ancestry	ZDHHC24
DHCR7	0	Not_cis-driven	Lung	Ancestry	DHCR7
NADSYN1	1	Cis-driven	Lung	Ancestry	NADSYN1
SESN3	0	Not_cis-driven	Lung	Ancestry	SESN3
JRKL	0	Not_cis-driven	Lung	Ancestry	JRKL
TTC12	0	Not_cis-driven	Lung	Ancestry	TTC12
USP2	1	Cis-driven	Lung	Ancestry	USP2
C11orf63	0	Not_cis-driven	Lung	Ancestry	C11orf63
CHD4	0	Not_cis-driven	Lung	Ancestry	CHD4
USP5	0	Not_cis-driven	Lung	Ancestry	USP5
PRH1	0	Not_cis-driven	Lung	Ancestry	PRH1
AQP5	0	Not_cis-driven	Lung	Ancestry	AQP5
ITGB7	0	Not_cis-driven	Lung	Ancestry	ITGB7
DTX3	0	Not_cis-driven	Lung	Ancestry	DTX3
IRAK3	0	Not_cis-driven	Lung	Ancestry	IRAK3
NAP1L1	0	Not_cis-driven	Lung	Ancestry	NAP1L1
DRAM1	0	Not_cis-driven	Lung	Ancestry	DRAM1
TMEM116	0	Not_cis-driven	Lung	Ancestry	TMEM116
SPPL3	3	Cis-driven	Lung	Ancestry	SPPL3
KDM2B	0	Not_cis-driven	Lung	Ancestry	KDM2B
DDX55	0	Not_cis-driven	Lung	Ancestry	DDX55
STX2	0	Not_cis-driven	Lung	Ancestry	STX2
FREM2	0	Not_cis-driven	Lung	Ancestry	FREM2
DNAJC15	0	Not_cis-driven	Lung	Ancestry	DNAJC15
RCBTB1	0	Not_cis-driven	Lung	Ancestry	RCBTB1
IPO5	1	Cis-driven	Lung	Ancestry	IPO5
GGACT	0	Not_cis-driven	Lung	Ancestry	GGACT
CARS2	3	Cis-driven	Lung	Ancestry	CARS2
MCF2L	0	Not_cis-driven	Lung	Ancestry	MCF2L
LAMP1	1	Cis-driven	Lung	Ancestry	LAMP1
UPF3A	2	Cis-driven	Lung	Ancestry	UPF3A
ADCY4	2	Cis-driven	Lung	Ancestry	ADCY4
HEATR5A	0	Not_cis-driven	Lung	Ancestry	HEATR5A
PYGL	1	Cis-driven	Lung	Ancestry	PYGL
MAX	1	Cis-driven	Lung	Ancestry	MAX
PLEK2	1	Cis-driven	Lung	Ancestry	PLEK2
DCAF4	2	Cis-driven	Lung	Ancestry	DCAF4
CCDC88C	0	Not_cis-driven	Lung	Ancestry	CCDC88C
IFI27	0	Not_cis-driven	Lung	Ancestry	IFI27
BEGAIN	0	Not_cis-driven	Lung	Ancestry	BEGAIN
EXOC3L4	0	Not_cis-driven	Lung	Ancestry	EXOC3L4
ASPG	5	Cis-driven	Lung	Ancestry	ASPG
CEP170B	1	Cis-driven	Lung	Ancestry	CEP170B
APBA2	0	Not_cis-driven	Lung	Ancestry	APBA2
LTK	0	Not_cis-driven	Lung	Ancestry	LTK
ZNF106	0	Not_cis-driven	Lung	Ancestry	ZNF106
ADAL	0	Not_cis-driven	Lung	Ancestry	ADAL
CATSPER2	1	Cis-driven	Lung	Ancestry	CATSPER2
SORD	4	Cis-driven	Lung	Ancestry	SORD
SLC27A2	0	Not_cis-driven	Lung	Ancestry	SLC27A2
SNX22	2	Cis-driven	Lung	Ancestry	SNX22
SCAMP5	2	Cis-driven	Lung	Ancestry	SCAMP5
NMB	0	Not_cis-driven	Lung	Ancestry	NMB
DECR2	0	Not_cis-driven	Lung	Ancestry	DECR2
RHBDL1	0	Not_cis-driven	Lung	Ancestry	RHBDL1
FBXL16	0	Not_cis-driven	Lung	Ancestry	FBXL16
LMF1	5	Cis-driven	Lung	Ancestry	LMF1
PRSS21	1	Cis-driven	Lung	Ancestry	PRSS21
TIGD7	1	Cis-driven	Lung	Ancestry	TIGD7
NMRAL1	3	Cis-driven	Lung	Ancestry	NMRAL1
ACSM1	0	Not_cis-driven	Lung	Ancestry	ACSM1
SULT1A1	0	Not_cis-driven	Lung	Ancestry	SULT1A1
HEATR3	0	Not_cis-driven	Lung	Ancestry	HEATR3
MT1A	0	Not_cis-driven	Lung	Ancestry	MT1A
CX3CL1	0	Not_cis-driven	Lung	Ancestry	CX3CL1
FHOD1	1	Cis-driven	Lung	Ancestry	FHOD1
LRRC36	0	Not_cis-driven	Lung	Ancestry	LRRC36
ZDHHC1	4	Cis-driven	Lung	Ancestry	ZDHHC1
SLC12A4	0	Not_cis-driven	Lung	Ancestry	SLC12A4
HAS3	0	Not_cis-driven	Lung	Ancestry	HAS3
COG4	0	Not_cis-driven	Lung	Ancestry	COG4
HPR	3	Cis-driven	Lung	Ancestry	HPR
WWOX	7	Cis-driven	Lung	Ancestry	WWOX
MPHOSPH6	0	Not_cis-driven	Lung	Ancestry	MPHOSPH6
WFDC1	0	Not_cis-driven	Lung	Ancestry	WFDC1
MVD	1	Cis-driven	Lung	Ancestry	MVD
SPG7	3	Cis-driven	Lung	Ancestry	SPG7
RPH3AL	0	Not_cis-driven	Lung	Ancestry	RPH3AL
SMYD4	0	Not_cis-driven	Lung	Ancestry	SMYD4
SRR	2	Cis-driven	Lung	Ancestry	SRR
USP6	1	Cis-driven	Lung	Ancestry	USP6
ASGR2	0	Not_cis-driven	Lung	Ancestry	ASGR2
CYB5D1	0	Not_cis-driven	Lung	Ancestry	CYB5D1
PIK3R6	0	Not_cis-driven	Lung	Ancestry	PIK3R6
STX8	0	Not_cis-driven	Lung	Ancestry	STX8
NT5M	1	Cis-driven	Lung	Ancestry	NT5M
SREBF1	0	Not_cis-driven	Lung	Ancestry	SREBF1
EPN2	3	Cis-driven	Lung	Ancestry	EPN2
RNF112	0	Not_cis-driven	Lung	Ancestry	RNF112
MYO18A	1	Cis-driven	Lung	Ancestry	MYO18A
GIT1	0	Not_cis-driven	Lung	Ancestry	GIT1
RFFL	2	Cis-driven	Lung	Ancestry	RFFL
PGAP3	0	Not_cis-driven	Lung	Ancestry	PGAP3
KRT23	0	Not_cis-driven	Lung	Ancestry	KRT23
PLEKHH3	0	Not_cis-driven	Lung	Ancestry	PLEKHH3
ARL17A	0	Not_cis-driven	Lung	Ancestry	ARL17A
WNT3	0	Not_cis-driven	Lung	Ancestry	WNT3
MYL4	0	Not_cis-driven	Lung	Ancestry	MYL4
SGCA	0	Not_cis-driven	Lung	Ancestry	SGCA
APPBP2	1	Cis-driven	Lung	Ancestry	APPBP2
RGS9	3	Cis-driven	Lung	Ancestry	RGS9
CACNG4	0	Not_cis-driven	Lung	Ancestry	CACNG4
ABCA5	0	Not_cis-driven	Lung	Ancestry	ABCA5
GPRC5C	1	Cis-driven	Lung	Ancestry	GPRC5C
CD300C	0	Not_cis-driven	Lung	Ancestry	CD300C
MRPS7	0	Not_cis-driven	Lung	Ancestry	MRPS7
CASKIN2	0	Not_cis-driven	Lung	Ancestry	CASKIN2
MXRA7	7	Cis-driven	Lung	Ancestry	MXRA7
ENGASE	0	Not_cis-driven	Lung	Ancestry	ENGASE
CEP131	0	Not_cis-driven	Lung	Ancestry	CEP131
DCXR	1	Cis-driven	Lung	Ancestry	DCXR
MPPE1	1	Cis-driven	Lung	Ancestry	MPPE1
MAPRE2	0	Not_cis-driven	Lung	Ancestry	MAPRE2
REEP6	0	Not_cis-driven	Lung	Ancestry	REEP6
REXO1	1	Cis-driven	Lung	Ancestry	REXO1
SPPL2B	0	Not_cis-driven	Lung	Ancestry	SPPL2B
